medal_type,medal_code,athlete_name,athlete_sex,event,country,discipline,season
Bronze,3,OZAKI Nonoka,W,Women's Freestyle 68kg,Japan,Wrestling,Summer
Gold,1,China,O,Team,China,Artistic Swimming,Summer
Silver,2,United States,O,Team,United States,Artistic Swimming,Summer
Bronze,3,Spain,O,Team,Spain,Artistic Swimming,Summer
Gold,1,MARTIN A/PEREZ M,X,Marathon Race Walk Relay Mixed,Spain,Athletics,Summer
Silver,2,PINTADO B/MOREJON G,X,Marathon Race Walk Relay Mixed,Ecuador,Athletics,Summer
Bronze,3,COWLEY R/MONTAG J,X,Marathon Race Walk Relay Mixed,Australia,Athletics,Summer
Gold,1,Soufiane EL BAKKALI,M,Men's 3000m Steeplechase,Morocco,Athletics,Summer
Silver,2,Kenneth ROOKS,M,Men's 3000m Steeplechase,United States,Athletics,Summer
Bronze,3,Abraham KIBIWOT,M,Men's 3000m Steeplechase,Kenya,Athletics,Summer
Gold,1,Quincy HALL,M,Men's 400m,United States,Athletics,Summer
Silver,2,Matthew HUDSON-SMITH,M,Men's 400m,Great Britain,Athletics,Summer
Bronze,3,Muzala SAMUKONGA,M,Men's 400m,Zambia,Athletics,Summer
Gold,1,Roje STONA,M,Men's Discus Throw,Jamaica,Athletics,Summer
Silver,2,Mykolas ALEKNA,M,Men's Discus Throw,Lithuania,Athletics,Summer
Bronze,3,Matthew DENNY,M,Men's Discus Throw,Australia,Athletics,Summer
Gold,1,Nina KENNEDY,W,Women's Pole Vault,Australia,Athletics,Summer
Silver,2,Katie MOON,W,Women's Pole Vault,United States,Athletics,Summer
Bronze,3,Alysha NEWMAN,W,Women's Pole Vault,Canada,Athletics,Summer
Bronze,3,Nelvie Raman TIAFACK,M,Men's +92kg,Germany,Boxing,Summer
Bronze,3,Djamili-Dini ABOUDOU MOINDZE,M,Men's +92kg,France,Boxing,Summer
Gold,1,Erislandy ALVAREZ BORGES,M,Men's 63.5kg,Cuba,Boxing,Summer
Silver,2,Sofiane OUMIHA,M,Men's 63.5kg,France,Boxing,Summer
Gold,1,Oleksandr KHYZHNIAK,M,Men's 80kg,Ukraine,Boxing,Summer
Silver,2,Nurbek ORALBAY,M,Men's 80kg,Kazakhstan,Boxing,Summer
Bronze,3,Esra YILDIZ KAHRAMAN,W,Women's 57kg,Türkiye,Boxing,Summer
Bronze,3,Nesthy PETECIO,W,Women's 57kg,Philippines,Boxing,Summer
Gold,1,Australia,M,Men's Team Pursuit,Australia,Cycling Track,Summer
Silver,2,Great Britain,M,Men's Team Pursuit,Great Britain,Cycling Track,Summer
Bronze,3,Italy,M,Men's Team Pursuit,Italy,Cycling Track,Summer
Gold,1,United States,W,Women's Team Pursuit,United States,Cycling Track,Summer
Silver,2,New Zealand,W,Women's Team Pursuit,New Zealand,Cycling Track,Summer
Bronze,3,Great Britain,W,Women's Team Pursuit,Great Britain,Cycling Track,Summer
Gold,1,Matt WEARN,M,Men's Dinghy,Australia,Sailing,Summer
Silver,2,Pavlos KONTIDES,M,Men's Dinghy,Cyprus,Sailing,Summer
Bronze,3,Stefano PESCHIERA,M,Men's Dinghy,Peru,Sailing,Summer
Gold,1,Marit BOUWMEESTER,W,Women's Dinghy,Netherlands,Sailing,Summer
Silver,2,Anne-Marie RINDOM,W,Women's Dinghy,Denmark,Sailing,Summer
Bronze,3,Line Flem HOEST,W,Women's Dinghy,Norway,Sailing,Summer
Gold,1,Keegan PALMER,M,Men's Park,Australia,Skateboarding,Summer
Silver,2,Tom SCHAAR,M,Men's Park,United States,Skateboarding,Summer
Bronze,3,Augusto AKIO,M,Men's Park,Brazil,Skateboarding,Summer
Gold,1,Aleksandra MIROSLAW,W,Women's Speed,Poland,Sport Climbing,Summer
Silver,2,DENG Lijuan,W,Women's Speed,China,Sport Climbing,Summer
Bronze,3,Aleksandra KALUCKA,W,Women's Speed,Poland,Sport Climbing,Summer
Gold,1,PARK Taejoon,M,Men -58kg,Korea,Taekwondo,Summer
Silver,2,Gashim MAGOMEDOV,M,Men -58kg,Azerbaijan,Taekwondo,Summer
Bronze,3,Cyrian RAVET,M,Men -58kg,France,Taekwondo,Summer
Bronze,3,Mohamed Khalil JENDOUBI,M,Men -58kg,Tunisia,Taekwondo,Summer
Gold,1,Panipak WONGPATTANAKIT,W,Women -49kg,Thailand,Taekwondo,Summer
Silver,2,GUO Qing,W,Women -49kg,China,Taekwondo,Summer
Bronze,3,Mobina NEMATZADEH,W,Women -49kg,IR Iran,Taekwondo,Summer
Bronze,3,Lena STOJKOVIC,W,Women -49kg,Croatia,Taekwondo,Summer
Gold,1,LI Fabin,M,Men's 61kg,China,Weightlifting,Summer
Silver,2,Theerapong SILACHAI,M,Men's 61kg,Thailand,Weightlifting,Summer
Bronze,3,Hampton MORRIS,M,Men's 61kg,United States,Weightlifting,Summer
Gold,1,HOU Zhihui,W,Women's 49kg,China,Weightlifting,Summer
Silver,2,Mihaela Valentina CAMBEI,W,Women's 49kg,Romania,Weightlifting,Summer
Bronze,3,Surodchana KHAMBAO,W,Women's 49kg,Thailand,Weightlifting,Summer
Gold,1,KUSAKA Nao,M,Men's Greco-Roman 77kg,Japan,Wrestling,Summer
Silver,2,Demeu ZHADRAYEV,M,Men's Greco-Roman 77kg,Kazakhstan,Wrestling,Summer
Bronze,3,Malkhas AMOYAN,M,Men's Greco-Roman 77kg,Armenia,Wrestling,Summer
Bronze,3,Akzhol MAKHMUDOV,M,Men's Greco-Roman 77kg,Kyrgyzstan,Wrestling,Summer
Gold,1,Mohammadhadi SARAVI,M,Men's Greco-Roman 97kg,IR Iran,Wrestling,Summer
Silver,2,Artur ALEKSANYAN,M,Men's Greco-Roman 97kg,Armenia,Wrestling,Summer
Bronze,3,Gabriel Alejandro ROSILLO KINDELAN,M,Men's Greco-Roman 97kg,Cuba,Wrestling,Summer
Bronze,3,Uzur DZHUZUPBEKOV,M,Men's Greco-Roman 97kg,Kyrgyzstan,Wrestling,Summer
Gold,1,Sarah Ann HILDEBRANDT,W,Women's Freestyle 50kg,United States,Wrestling,Summer
Silver,2,Yusneylis GUZMAN LOPEZ,W,Women's Freestyle 50kg,Cuba,Wrestling,Summer
Bronze,3,SUSAKI Yui,W,Women's Freestyle 50kg,Japan,Wrestling,Summer
Bronze,3,FENG Ziqi,W,Women's Freestyle 50kg,China,Wrestling,Summer
Gold,1,Grant HOLLOWAY,M,Men's 110m Hurdles,United States,Athletics,Summer
Silver,2,Daniel ROBERTS,M,Men's 110m Hurdles,United States,Athletics,Summer
Bronze,3,Rasheed BROADBELL,M,Men's 110m Hurdles,Jamaica,Athletics,Summer
Gold,1,Letsile TEBOGO,M,Men's 200m,Botswana,Athletics,Summer
Silver,2,Kenneth BEDNAREK,M,Men's 200m,United States,Athletics,Summer
Bronze,3,Noah LYLES,M,Men's 200m,United States,Athletics,Summer
Gold,1,Arshad NADEEM,M,Men's Javelin Throw,Pakistan,Athletics,Summer
Silver,2,Neeraj CHOPRA,M,Men's Javelin Throw,India,Athletics,Summer
Bronze,3,Anderson PETERS,M,Men's Javelin Throw,Grenada,Athletics,Summer
Gold,1,Sydney McLAUGHLIN-LEVRONE,W,Women's 400m Hurdles,United States,Athletics,Summer
Silver,2,Anna COCKRELL,W,Women's 400m Hurdles,United States,Athletics,Summer
Bronze,3,Femke BOL,W,Women's 400m Hurdles,Netherlands,Athletics,Summer
Gold,1,Tara DAVIS-WOODHALL,W,Women's Long Jump,United States,Athletics,Summer
Silver,2,Malaika MIHAMBO,W,Women's Long Jump,Germany,Athletics,Summer
Bronze,3,Jasmine MOORE,W,Women's Long Jump,United States,Athletics,Summer
Gold,1,Hasanboy DUSMATOV,M,Men's 51kg,Uzbekistan,Boxing,Summer
Silver,2,Billal BENNAMA,M,Men's 51kg,France,Boxing,Summer
Bronze,3,Charlie SENIOR,M,Men's 57kg,Australia,Boxing,Summer
Bronze,3,Javier IBANEZ DIAZ,M,Men's 57kg,Bulgaria,Boxing,Summer
Gold,1,CHANG Yuan,W,Women's 54kg,China,Boxing,Summer
Silver,2,Hatice AKBAS,W,Women's 54kg,Türkiye,Boxing,Summer
Bronze,3,Caitlin PARKER,W,Women's 75kg,Australia,Boxing,Summer
Bronze,3,Cindy Winner DJANKEU NGAMBA,W,Women's 75kg,EOR,Boxing,Summer
Gold,1,LIU/JI,M,Men's Canoe Double 500m,China,Canoe Sprint,Summer
Silver,2,CASADEI/TACCHINI,M,Men's Canoe Double 500m,Italy,Canoe Sprint,Summer
Bronze,3,MORENO/DOMINGUEZ,M,Men's Canoe Double 500m,Spain,Canoe Sprint,Summer
Gold,1,Germany,M,Men's Kayak Four 500m,Germany,Canoe Sprint,Summer
Silver,2,Australia,M,Men's Kayak Four 500m,Australia,Canoe Sprint,Summer
Bronze,3,Spain,M,Men's Kayak Four 500m,Spain,Canoe Sprint,Summer
Gold,1,New Zealand,W,Women's Kayak Four 500m,New Zealand,Canoe Sprint,Summer
Silver,2,Germany,W,Women's Kayak Four 500m,Germany,Canoe Sprint,Summer
Bronze,3,Hungary,W,Women's Kayak Four 500m,Hungary,Canoe Sprint,Summer
Gold,1,Benjamin THOMAS,M,Men's Omnium,France,Cycling Track,Summer
Silver,2,Iuri LEITAO,M,Men's Omnium,Portugal,Cycling Track,Summer
Bronze,3,Fabio van den BOSSCHE,M,Men's Omnium,Belgium,Cycling Track,Summer
Gold,1,Ellesse ANDREWS,W,Women's Keirin,New Zealand,Cycling Track,Summer
Silver,2,Hetty van de WOUW,W,Women's Keirin,Netherlands,Cycling Track,Summer
Bronze,3,Emma FINUCANE,W,Women's Keirin,Great Britain,Cycling Track,Summer
Gold,1,XIE Siyi,M,Men's 3m Springboard,China,Diving,Summer
Silver,2,WANG Zongyuan,M,Men's 3m Springboard,China,Diving,Summer
Bronze,3,Osmar OLVERA IBARRA,M,Men's 3m Springboard,Mexico,Diving,Summer
Bronze,3,Morocco,M,Men,Morocco,Football,Summer
Gold,1,Netherlands,M,Men,Netherlands,Hockey,Summer
Silver,2,Germany,M,Men,Germany,Hockey,Summer
Bronze,3,India,M,Men,India,Hockey,Summer
Gold,1,Sharon van ROUWENDAAL,W,Women's 10km,Netherlands,Marathon Swimming,Summer
Silver,2,Moesha JOHNSON,W,Women's 10km,Australia,Marathon Swimming,Summer
Bronze,3,Ginevra TADDEUCCI,W,Women's 10km,Italy,Marathon Swimming,Summer
Gold,1,VADLAU/MAEHR,X,Mixed Dinghy,Austria,Sailing,Summer
Silver,2,OKADA/YOSHIOKA,X,Mixed Dinghy,Japan,Sailing,Summer
Bronze,3,DAHLBERG/KARLSSON,X,Mixed Dinghy,Sweden,Sailing,Summer
Gold,1,TITA/BANTI,X,Mixed Multihull,Italy,Sailing,Summer
Silver,2,MAJDALANI/BOSCO,X,Mixed Multihull,Argentina,Sailing,Summer
Bronze,3,WILKINSON/DAWSON,X,Mixed Multihull,New Zealand,Sailing,Summer
Gold,1,Eleanor ALDRIDGE,W,Women's Kite,Great Britain,Sailing,Summer
Silver,2,Lauriane NOLOT,W,Women's Kite,France,Sailing,Summer
Bronze,3,Annelous LAMMERTS,W,Women's Kite,Netherlands,Sailing,Summer
Gold,1,Veddriq LEONARDO,M,Men's Speed,Indonesia,Sport Climbing,Summer
Silver,2,WU Peng,M,Men's Speed,China,Sport Climbing,Summer
Bronze,3,Sam WATSON,M,Men's Speed,United States,Sport Climbing,Summer
Gold,1,Ulugbek RASHITOV,M,Men -68kg,Uzbekistan,Taekwondo,Summer
Silver,2,Zaid KAREEM,M,Men -68kg,Jordan,Taekwondo,Summer
Bronze,3,LIANG Yushuai,M,Men -68kg,China,Taekwondo,Summer
Bronze,3,Edival PONTES,M,Men -68kg,Brazil,Taekwondo,Summer
Gold,1,KIM Yujin,W,Women -57kg,Korea,Taekwondo,Summer
Silver,2,Nahid KIYANICHANDEH,W,Women -57kg,IR Iran,Taekwondo,Summer
Bronze,3,Skylar PARK,W,Women -57kg,Canada,Taekwondo,Summer
Bronze,3,Alizadeh KIMIA,W,Women -57kg,Bulgaria,Taekwondo,Summer
Gold,1,Rizki JUNIANSYAH,M,Men's 73kg,Indonesia,Weightlifting,Summer
Silver,2,Weeraphon WICHUMA,M,Men's 73kg,Thailand,Weightlifting,Summer
Bronze,3,Bozhidar Dimitrov ANDREEV,M,Men's 73kg,Bulgaria,Weightlifting,Summer
Gold,1,LUO Shifang,W,Women's 59kg,China,Weightlifting,Summer
Silver,2,Maude CHARRON,W,Women's 59kg,Canada,Weightlifting,Summer
Bronze,3,KUO Hsing-Chun,W,Women's 59kg,Chinese Taipei,Weightlifting,Summer
Gold,1,Saeid ESMAEILI LEIVESI,M,Men's Greco-Roman 67kg,IR Iran,Wrestling,Summer
Silver,2,Parviz NASIBOV,M,Men's Greco-Roman 67kg,Ukraine,Wrestling,Summer
Bronze,3,Hasrat JAFAROV,M,Men's Greco-Roman 67kg,Azerbaijan,Wrestling,Summer
Bronze,3,Luis Alberto ORTA SANCHEZ,M,Men's Greco-Roman 67kg,Cuba,Wrestling,Summer
Gold,1,Semen Sergeevich NOVIKOV,M,Men's Greco-Roman 87kg,Bulgaria,Wrestling,Summer
Silver,2,Alireza MOHMADIPIANI,M,Men's Greco-Roman 87kg,IR Iran,Wrestling,Summer
Bronze,3,Zhan BELENIUK,M,Men's Greco-Roman 87kg,Ukraine,Wrestling,Summer
Bronze,3,Turpal Ali BISULTANOV,M,Men's Greco-Roman 87kg,Denmark,Wrestling,Summer
Gold,1,FUJINAMI Akari,W,Women's Freestyle 53kg,Japan,Wrestling,Summer
Silver,2,Lucia Yamileth YEPEZ GUZMAN,W,Women's Freestyle 53kg,Ecuador,Wrestling,Summer
Bronze,3,CHOE Hyo Gyong,W,Women's Freestyle 53kg,DPR Korea,Wrestling,Summer
Bronze,3,PANG Qianyu,W,Women's Freestyle 53kg,China,Wrestling,Summer
Gold,1,Canada,M,Men's 4 x 100m Relay,Canada,Athletics,Summer
Silver,2,South Africa,M,Men's 4 x 100m Relay,South Africa,Athletics,Summer
Bronze,3,Great Britain,M,Men's 4 x 100m Relay,Great Britain,Athletics,Summer
Gold,1,Rai BENJAMIN,M,Men's 400m Hurdles,United States,Athletics,Summer
Silver,2,Karsten WARHOLM,M,Men's 400m Hurdles,Norway,Athletics,Summer
Bronze,3,Alison dos SANTOS,M,Men's 400m Hurdles,Brazil,Athletics,Summer
Gold,1,Jordan Alejandro DIAZ FORTUN,M,Men's Triple Jump,Spain,Athletics,Summer
Silver,2,Pedro PICHARDO,M,Men's Triple Jump,Portugal,Athletics,Summer
Bronze,3,Andy DIAZ HERNANDEZ,M,Men's Triple Jump,Italy,Athletics,Summer
Gold,1,Beatrice CHEBET,W,"Women's 10,000m",Kenya,Athletics,Summer
Silver,2,Nadia BATTOCLETTI,W,"Women's 10,000m",Italy,Athletics,Summer
Bronze,3,Sifan HASSAN,W,"Women's 10,000m",Netherlands,Athletics,Summer
Gold,1,United States,W,Women's 4 x 100m Relay,United States,Athletics,Summer
Silver,2,Great Britain,W,Women's 4 x 100m Relay,Great Britain,Athletics,Summer
Bronze,3,Germany,W,Women's 4 x 100m Relay,Germany,Athletics,Summer
Gold,1,Marileidy PAULINO,W,Women's 400m,Dominican Republic,Athletics,Summer
Silver,2,Salwa Eid NASER,W,Women's 400m,Bahrain,Athletics,Summer
Bronze,3,Natalia KACZMAREK,W,Women's 400m,Poland,Athletics,Summer
Gold,1,Yemisi OGUNLEYE,W,Women's Shot Put,Germany,Athletics,Summer
Silver,2,Maddison-Lee WESCHE,W,Women's Shot Put,New Zealand,Athletics,Summer
Bronze,3,SONG Jiayuan,W,Women's Shot Put,China,Athletics,Summer
Gold,1,ANA PATRICIA/DUDA,W,Women,Brazil,Beach Volleyball,Summer
Silver,2,MELISSA/BRANDIE,W,Women,Canada,Beach Volleyball,Summer
Bronze,3,HUBERLI/BRUNNER,W,Women,Switzerland,Beach Volleyball,Summer
Gold,1,Asadkhuja MUYDINKHUJAEV,M,Men's 71kg,Uzbekistan,Boxing,Summer
Silver,2,Marco Alonso VERDE ALVAREZ,M,Men's 71kg,Mexico,Boxing,Summer
Gold,1,Lazizbek MULLOJONOV,M,Men's 92kg,Uzbekistan,Boxing,Summer
Silver,2,Loren Berto ALFONSO DOMINGUEZ,M,Men's 92kg,Azerbaijan,Boxing,Summer
Gold,1,WU Yu,W,Women's 50kg,China,Boxing,Summer
Silver,2,Buse Naz CAKIROGLU,W,Women's 50kg,Türkiye,Boxing,Summer
Gold,1,Imane KHELIF,W,Women's 66kg,Algeria,Boxing,Summer
Silver,2,YANG Liu,W,Women's 66kg,China,Boxing,Summer
Gold,1,AMI,W,B-Girls,Japan,Breaking,Summer
Silver,2,NICKA,W,B-Girls,Lithuania,Breaking,Summer
Bronze,3,671,W,B-Girls,China,Breaking,Summer
Gold,1,Martin FUKSA,M,Men's Canoe Single 1000m,Czechia,Canoe Sprint,Summer
Silver,2,Isaquias QUEIROZ,M,Men's Canoe Single 1000m,Brazil,Canoe Sprint,Summer
Bronze,3,Serghei TARNOVSCHI,M,Men's Canoe Single 1000m,Republic of Moldova,Canoe Sprint,Summer
Gold,1,SCHOPF/LEMKE,M,Men's Kayak Double 500m,Germany,Canoe Sprint,Summer
Silver,2,NADAS/TOTKA,M,Men's Kayak Double 500m,Hungary,Canoe Sprint,Summer
Bronze,3,van der WE/GREEN,M,Men's Kayak Double 500m,Australia,Canoe Sprint,Summer
Gold,1,XU/SUN,W,Women's Canoe Double 500m,China,Canoe Sprint,Summer
Silver,2,LUZAN/RYBACHOK,W,Women's Canoe Double 500m,Ukraine,Canoe Sprint,Summer
Bronze,3,MACKENZIE/VINCENT,W,Women's Canoe Double 500m,Canada,Canoe Sprint,Summer
Gold,1,CARRINGTON/HOSKIN,W,Women's Kayak Double 500m,New Zealand,Canoe Sprint,Summer
Silver,2,CSIPES/GAZSO,W,Women's Kayak Double 500m,Hungary,Canoe Sprint,Summer
Bronze,3,PASZEK/HAKE,W,Women's Kayak Double 500m,Germany,Canoe Sprint,Summer
Bronze,3,PUPP/FOJT,W,Women's Kayak Double 500m,Hungary,Canoe Sprint,Summer
Gold,1,Harrie LAVREYSEN,M,Men's Sprint,Netherlands,Cycling Track,Summer
Silver,2,Matthew RICHARDSON,M,Men's Sprint,Australia,Cycling Track,Summer
Bronze,3,Jack CARLIN,M,Men's Sprint,Great Britain,Cycling Track,Summer
Gold,1,Italy,W,Women's Madison,Italy,Cycling Track,Summer
Silver,2,Great Britain,W,Women's Madison,Great Britain,Cycling Track,Summer
Bronze,3,Netherlands,W,Women's Madison,Netherlands,Cycling Track,Summer
Gold,1,CHEN Yiwen,W,Women's 3m Springboard,China,Diving,Summer
Silver,2,Maddison KEENEY,W,Women's 3m Springboard,Australia,Diving,Summer
Bronze,3,CHANG Yani,W,Women's 3m Springboard,China,Diving,Summer
Gold,1,Spain,M,Men,Spain,Football,Summer
Silver,2,France,M,Men,France,Football,Summer
Bronze,3,Germany,W,Women,Germany,Football,Summer
Gold,1,Netherlands,W,Women,Netherlands,Hockey,Summer
Silver,2,China,W,Women,China,Hockey,Summer
Bronze,3,Argentina,W,Women,Argentina,Hockey,Summer
Gold,1,Kristof RASOVSZKY,M,Men's 10km,Hungary,Marathon Swimming,Summer
Silver,2,Oliver KLEMET,M,Men's 10km,Germany,Marathon Swimming,Summer
Bronze,3,David BETLEHEM,M,Men's 10km,Hungary,Marathon Swimming,Summer
Gold,1,Valentin BONTUS,M,Men's Kite,Austria,Sailing,Summer
Silver,2,Toni VODISEK,M,Men's Kite,Slovenia,Sailing,Summer
Bronze,3,Maximilian MAEDER,M,Men's Kite,Singapore,Sailing,Summer
Gold,1,Toby ROBERTS,M,Men's Boulder & Lead,Great Britain,Sport Climbing,Summer
Silver,2,ANRAKU Sorato,M,Men's Boulder & Lead,Japan,Sport Climbing,Summer
Bronze,3,Jakob SCHUBERT,M,Men's Boulder & Lead,Austria,Sport Climbing,Summer
Gold,1,China,M,Men's Team,China,Table Tennis,Summer
Silver,2,Sweden,M,Men's Team,Sweden,Table Tennis,Summer
Bronze,3,France,M,Men's Team,France,Table Tennis,Summer
Gold,1,Firas KATOUSSI,M,Men -80kg,Tunisia,Taekwondo,Summer
Silver,2,Mehran BARKHORDARI,M,Men -80kg,IR Iran,Taekwondo,Summer
Bronze,3,Simone ALESSIO,M,Men -80kg,Italy,Taekwondo,Summer
Bronze,3,Edi HRNIC,M,Men -80kg,Denmark,Taekwondo,Summer
Gold,1,Viviana MARTON,W,Women -67kg,Hungary,Taekwondo,Summer
Silver,2,Aleksandra PERISIC,W,Women -67kg,Serbia,Taekwondo,Summer
Bronze,3,Kristina TEACHOUT,W,Women -67kg,United States,Taekwondo,Summer
Bronze,3,Sarah CHAARI,W,Women -67kg,Belgium,Taekwondo,Summer
Bronze,3,United States,M,Men,United States,Volleyball,Summer
Gold,1,Karlos May NASAR,M,Men's 89kg,Bulgaria,Weightlifting,Summer
Silver,2,Yeison LOPEZ,M,Men's 89kg,Colombia,Weightlifting,Summer
Bronze,3,Antonino PIZZOLATO,M,Men's 89kg,Italy,Weightlifting,Summer
Gold,1,Olivia REEVES,W,Women's 71kg,United States,Weightlifting,Summer
Silver,2,Mari Leivis SANCHEZ,W,Women's 71kg,Colombia,Weightlifting,Summer
Bronze,3,Angie Paola PALACIOS DAJOMES,W,Women's 71kg,Ecuador,Weightlifting,Summer
Gold,1,HIGUCHI Rei,M,Men's Freestyle 57kg,Japan,Wrestling,Summer
Silver,2,Spencer Richard LEE,M,Men's Freestyle 57kg,United States,Wrestling,Summer
Bronze,3,Aman AMAN,M,Men's Freestyle 57kg,India,Wrestling,Summer
Bronze,3,Gulomjon ABDULLAEV,M,Men's Freestyle 57kg,Uzbekistan,Wrestling,Summer
Gold,1,Magomed Eldarovitch RAMAZANOV,M,Men's Freestyle 86kg,Bulgaria,Wrestling,Summer
Silver,2,Hassan YAZDANICHARATI,M,Men's Freestyle 86kg,IR Iran,Wrestling,Summer
Bronze,3,Aaron Marquel BROOKS,M,Men's Freestyle 86kg,United States,Wrestling,Summer
Bronze,3,Dauren KURUGLIEV,M,Men's Freestyle 86kg,Greece,Wrestling,Summer
Gold,1,SAKURAI Tsugumi,W,Women's Freestyle 57kg,Japan,Wrestling,Summer
Silver,2,Anastasia NICHITA,W,Women's Freestyle 57kg,Republic of Moldova,Wrestling,Summer
Bronze,3,Helen Louise MAROULIS,W,Women's Freestyle 57kg,United States,Wrestling,Summer
Bronze,3,HONG Kexin,W,Women's Freestyle 57kg,China,Wrestling,Summer
Gold,1,China,W,Duet,China,Artistic Swimming,Summer
Silver,2,Great Britain,W,Duet,Great Britain,Artistic Swimming,Summer
Bronze,3,Netherlands,W,Duet,Netherlands,Artistic Swimming,Summer
Gold,1,United States,M,Men's 4 x 400m Relay,United States,Athletics,Summer
Silver,2,Botswana,M,Men's 4 x 400m Relay,Botswana,Athletics,Summer
Bronze,3,Great Britain,M,Men's 4 x 400m Relay,Great Britain,Athletics,Summer
Gold,1,Jakob INGEBRIGTSEN,M,Men's 5000m,Norway,Athletics,Summer
Silver,2,Ronald KWEMOI,M,Men's 5000m,Kenya,Athletics,Summer
Bronze,3,Grant FISHER,M,Men's 5000m,United States,Athletics,Summer
Gold,1,Emmanuel WANYONYI,M,Men's 800m,Kenya,Athletics,Summer
Silver,2,Marco AROP,M,Men's 800m,Canada,Athletics,Summer
Bronze,3,Djamel SEDJATI,M,Men's 800m,Algeria,Athletics,Summer
Gold,1,Hamish KERR,M,Men's High Jump,New Zealand,Athletics,Summer
Silver,2,Shelby McEWEN,M,Men's High Jump,United States,Athletics,Summer
Bronze,3,Mutaz Essa BARSHIM,M,Men's High Jump,Qatar,Athletics,Summer
Gold,1,Tamirat TOLA,M,Men's Marathon,Ethiopia,Athletics,Summer
Silver,2,Bashir ABDI,M,Men's Marathon,Belgium,Athletics,Summer
Bronze,3,Benson KIPRUTO,M,Men's Marathon,Kenya,Athletics,Summer
Gold,1,Masai RUSSELL,W,Women's 100m Hurdles,United States,Athletics,Summer
Silver,2,Cyrena SAMBA-MAYELA,W,Women's 100m Hurdles,France,Athletics,Summer
Bronze,3,Jasmine CAMACHO-QUINN,W,Women's 100m Hurdles,Puerto Rico,Athletics,Summer
Gold,1,Faith KIPYEGON,W,Women's 1500m,Kenya,Athletics,Summer
Silver,2,Jessica HULL,W,Women's 1500m,Australia,Athletics,Summer
Bronze,3,Georgia BELL,W,Women's 1500m,Great Britain,Athletics,Summer
Gold,1,United States,W,Women's 4 x 400m Relay,United States,Athletics,Summer
Silver,2,Netherlands,W,Women's 4 x 400m Relay,Netherlands,Athletics,Summer
Bronze,3,Great Britain,W,Women's 4 x 400m Relay,Great Britain,Athletics,Summer
Gold,1,KITAGUCHI Haruka,W,Women's Javelin Throw,Japan,Athletics,Summer
Silver,2,Jo-Ane van DYK,W,Women's Javelin Throw,South Africa,Athletics,Summer
Bronze,3,Nikola OGRODNIKOVA,W,Women's Javelin Throw,Czechia,Athletics,Summer
Gold,1,United States,M,Men,United States,Basketball,Summer
Silver,2,France,M,Men,France,Basketball,Summer
Bronze,3,Serbia,M,Men,Serbia,Basketball,Summer
Gold,1,AHMAN/HELLVIG,M,Men,Sweden,Beach Volleyball,Summer
Silver,2,EHLERS/WICKLER,M,Men,Germany,Beach Volleyball,Summer
Bronze,3,MOL/SORUM,M,Men,Norway,Beach Volleyball,Summer
Gold,1,Bakhodir JALOLOV,M,Men's +92kg,Uzbekistan,Boxing,Summer
Silver,2,Ayoub GHADFA DRISSI EL AISSAOUI,M,Men's +92kg,Spain,Boxing,Summer
Gold,1,Abdumalik KHALOKOV,M,Men's 57kg,Uzbekistan,Boxing,Summer
Silver,2,Munarbek SEIITBEK UULU,M,Men's 57kg,Kyrgyzstan,Boxing,Summer
Gold,1,LIN Yu Ting,W,Women's 57kg,Chinese Taipei,Boxing,Summer
Silver,2,Julia SZEREMETA,W,Women's 57kg,Poland,Boxing,Summer
Gold,1,LI Qian,W,Women's 75kg,China,Boxing,Summer
Silver,2,Atheyna Bibeichi BYLON,W,Women's 75kg,Panama,Boxing,Summer
Gold,1,PHIL WIZARD,M,B-Boys,Canada,Breaking,Summer
Silver,2,DANY DANN,M,B-Boys,France,Breaking,Summer
Bronze,3,VICTOR,M,B-Boys,United States,Breaking,Summer
Gold,1,Josef DOSTAL,M,Men's Kayak Single 1000m,Czechia,Canoe Sprint,Summer
Silver,2,Adam VARGA,M,Men's Kayak Single 1000m,Hungary,Canoe Sprint,Summer
Bronze,3,Balint KOPASZ,M,Men's Kayak Single 1000m,Hungary,Canoe Sprint,Summer
Gold,1,Katie VINCENT,W,Women's Canoe Single 200m,Canada,Canoe Sprint,Summer
Silver,2,Nevin HARRISON,W,Women's Canoe Single 200m,United States,Canoe Sprint,Summer
Bronze,3,Yarisleidis CIRILO DUBOYS,W,Women's Canoe Single 200m,Cuba,Canoe Sprint,Summer
Gold,1,Lisa CARRINGTON,W,Women's Kayak Single 500m,New Zealand,Canoe Sprint,Summer
Silver,2,Tamara CSIPES,W,Women's Kayak Single 500m,Hungary,Canoe Sprint,Summer
Bronze,3,Emma Aastrand JORGENSEN,W,Women's Kayak Single 500m,Denmark,Canoe Sprint,Summer
Gold,1,Portugal,M,Men's Madison,Portugal,Cycling Track,Summer
Silver,2,Italy,M,Men's Madison,Italy,Cycling Track,Summer
Bronze,3,Denmark,M,Men's Madison,Denmark,Cycling Track,Summer
Gold,1,CAO Yuan,M,Men's 10m Platform,China,Diving,Summer
Silver,2,TAMAI Rikuto,M,Men's 10m Platform,Japan,Diving,Summer
Bronze,3,Noah WILLIAMS,M,Men's 10m Platform,Great Britain,Diving,Summer
Gold,1,United States,W,Women,United States,Football,Summer
Silver,2,Brazil,W,Women,Brazil,Football,Summer
